asset,date,close,volume,daily_return,ma20,ma60,ret20,vol20,drawdown60,rsi14,macd,macd_signal
DIA,2026-03-04,487.73999,7590700,0.004572,494.199,489.75433,-0.009283,0.14353,-0.032636,32.9228,-0.844713,0.426924
DIA,2026-03-05,479.84,8758600,-0.016197,493.4535,489.75117,-0.030136,0.152374,-0.043953,31.9278,-1.687987,0.003942
DIA,2026-03-06,475.23001,8206100,-0.009607,492.7695,489.7025,-0.027981,0.15059,-0.053138,27.73703,-2.697184,-0.536283
DIA,2026-03-09,477.88,10305600,0.005576,491.612,489.72683,-0.046205,0.118294,-0.053138,30.92757,-3.245732,-1.078173
DIA,2026-03-10,477.70001,6265600,-0.000377,490.436,489.666,-0.046925,0.118094,-0.053138,29.08536,-3.652877,-1.593114
DIA,2026-03-11,474.81,6701700,-0.00605,489.0815,489.44833,-0.053975,0.117917,-0.053975,28.91613,-4.160778,-2.106647
DIA,2026-03-12,467.48001,8000200,-0.015438,487.389,489.14967,-0.06752,0.125982,-0.068579,22.52112,-5.096019,-2.704521
DIA,2026-03-13,466.41,7471700,-0.002289,485.976,488.837,-0.057129,0.120537,-0.070711,26.02128,-5.85604,-3.334825
DIA,2026-03-16,470.29999,7059900,0.00834,484.727,488.64233,-0.050436,0.12628,-0.070711,26.20149,-6.074451,-3.88275
DIA,2026-03-17,470.89999,6189400,0.001276,483.4795,488.494,-0.050318,0.126329,-0.070711,22.00369,-6.128482,-4.331897
DIA,2026-03-18,463.0,7090700,-0.016776,481.7795,488.20217,-0.06841,0.134492,-0.077505,18.50533,-6.731173,-4.811752
DIA,2026-03-19,461.06,7882800,-0.00419,480.1135,487.86733,-0.067398,0.134358,-0.081371,19.7802,-7.281416,-5.305685
DIA,2026-03-20,455.89001,10543300,-0.011213,478.104,487.40783,-0.081015,0.134463,-0.091672,17.99653,-8.041959,-5.852939
DIA,2026-03-23,461.97,9978100,0.013337,476.802,487.03683,-0.05336,0.140113,-0.091672,28.36669,-8.061167,-6.294585
DIA,2026-03-24,461.17001,8188000,-0.001732,475.271,486.60617,-0.062262,0.134674,-0.091672,24.93867,-8.048167,-6.645301
DIA,2026-03-25,464.14001,7019700,0.00644,473.737,486.22467,-0.062002,0.134934,-0.091672,33.67304,-7.709342,-6.85811
DIA,2026-03-26,459.31,8284000,-0.010406,471.9595,485.80333,-0.071838,0.136716,-0.091672,33.51964,-7.741326,-7.034753
DIA,2026-03-27,451.39001,6938500,-0.017243,470.046,485.26667,-0.078156,0.143114,-0.100638,25.27533,-8.309957,-7.289794
DIA,2026-03-30,452.06,9181600,0.001484,468.19,484.7915,-0.075882,0.144073,-0.100638,26.28557,-8.60732,-7.553299
DIA,2026-03-31,463.19,11656300,0.024621,467.0735,484.45083,-0.045992,0.175189,-0.100638,40.67415,-7.854344,-7.613508
DIA,2026-04-01,465.48001,7790300,0.004944,465.9605,484.046,-0.045639,0.175387,-0.100638,48.25358,-6.992218,-7.48925
DIA,2026-04-02,465.06,3955900,-0.000902,465.2215,483.5535,-0.030802,0.16751,-0.100638,48.80762,-6.270586,-7.245517
DIA,2026-04-06,466.76999,2905300,0.003677,464.7985,483.167,-0.017802,0.16562,-0.100638,46.7573,-5.497335,-6.895881
DIA,2026-04-07,465.88,3943200,-0.001907,464.1985,482.72283,-0.025111,0.163892,-0.100638,45.41302,-4.89986,-6.496677
DIA,2026-04-08,479.16,4697500,0.028505,464.2715,482.4585,0.003056,0.19498,-0.100638,63.44427,-3.316541,-5.860649
DIA,2026-04-09,481.89999,4213700,0.005718,464.626,482.22517,0.014932,0.194432,-0.100638,67.11003,-1.819678,-5.052455
DIA,2026-04-10,479.25,2659000,-0.005499,465.2145,482.01367,0.025178,0.186452,-0.100638,70.00686,-0.837581,-4.20948
DIA,2026-04-13,482.13,3768700,0.006009,466.0005,481.85617,0.033704,0.186655,-0.100638,68.2675,0.171157,-3.333353
DIA,2026-04-14,485.48999,4217900,0.006969,466.76,481.70633,0.032299,0.186073,-0.100638,71.05992,1.227562,-2.42117
DIA,2026-04-15,484.72,3474500,-0.001586,467.451,481.56133,0.029348,0.186427,-0.100638,68.52719,1.979816,-1.540973
DIA,2026-04-16,485.63,4111500,0.001877,468.5825,481.57383,0.048877,0.173464,-0.100638,75.49403,2.61922,-0.708934
DIA,2026-04-17,494.22,10238700,0.017688,470.2405,481.63083,0.071921,0.179639,-0.100638,90.95432,3.775571,0.187967
DIA,2026-04-20,494.32999,3764000,0.000223,472.1625,481.6415,0.084319,0.171589,-0.100638,90.8564,4.647291,1.079832
DIA,2026-04-21,491.35999,4322200,-0.006008,473.632,481.64867,0.063619,0.171534,-0.100638,82.32731,5.040379,1.871941
DIA,2026-04-22,494.76001,4022400,0.00692,475.3115,481.66033,0.072836,0.171021,-0.100638,82.76636,5.56214,2.609981
DIA,2026-04-23,493.0,4077300,-0.003557,476.7545,481.70933,0.062179,0.172476,-0.100638,80.3564,5.767142,3.241413
DIA,2026-04-24,492.20999,3372300,-0.001602,478.3995,481.744,0.071629,0.16606,-0.100638,78.20401,5.799013,3.752933
DIA,2026-04-27,491.82999,2132100,-0.000772,480.4215,481.771,0.08959,0.148067,-0.100638,79.09843,5.727584,4.147863
DIA,2026-04-28,491.42001,3057100,-0.000834,482.3895,481.81083,0.087068,0.148887,-0.100638,69.32538,5.573644,4.433019
DIA,2026-04-29,488.67001,3322300,-0.005596,483.6635,481.7215,0.05501,0.131617,-0.100638,60.66817,5.170146,4.580445
DIA,2026-04-30,496.64999,5352300,0.01633,485.222,481.79383,0.066963,0.140108,-0.100638,73.47546,5.431676,4.750691
DIA,2026-05-01,495.01999,4402600,-0.003282,486.72,481.79833,0.064422,0.1413,-0.100638,67.99776,5.44465,4.889483
DIA,2026-05-04,489.56,3310400,-0.01103,487.8595,481.80917,0.048825,0.149969,-0.100638,55.36799,4.957212,4.903029
DIA,2026-05-05,492.95999,3386200,0.006945,489.2135,481.67467,0.058127,0.149867,-0.100638,60.1628,4.790049,4.880433
DIA,2026-05-06,499.04999,4317300,0.012354,490.208,481.6385,0.04151,0.121509,-0.100638,64.67628,5.090304,4.922407
DIA,2026-05-07,495.91,4490500,-0.006292,490.9085,481.53867,0.029072,0.124167,-0.100638,52.09834,5.017055,4.941337
DIA,2026-05-08,496.13,3495200,0.000444,491.7525,481.452,0.035222,0.121512,-0.100638,52.22885,4.920042,4.937078
DIA,2026-05-11,497.10999,4249100,0.001975,492.5015,481.49267,0.03107,0.12048,-0.100638,57.48894,4.866141,4.92289
DIA,2026-05-12,497.89001,7445700,0.001569,493.1215,481.53617,0.025541,0.118776,-0.100638,54.37519,4.83068,4.904448
DIA,2026-05-13,497.14001,3256800,-0.001506,493.7425,481.55767,0.025623,0.118751,-0.100638,55.95515,4.688018,4.861162
DIA,2026-05-14,500.79999,4920500,0.007362,494.501,481.621,0.031238,0.120689,-0.100638,61.41379,4.814785,4.851887
DIA,2026-05-15,495.37,5300700,-0.010843,494.5585,481.6375,0.002327,0.112344,-0.100638,54.14716,4.426072,4.766724
DIA,2026-05-18,497.01001,5496200,0.003311,494.6925,481.653,0.005422,0.112907,-0.100638,56.3653,4.201913,4.653762
DIA,2026-05-19,493.98001,5361300,-0.006096,494.8235,481.7525,0.005332,0.112973,-0.100638,56.00815,3.736696,4.470349
DIA,2026-05-20,500.23999,6516100,0.012673,495.0975,481.89333,0.011076,0.119129,-0.100638,54.22651,3.828997,4.342078
DIA,2026-05-21,503.10999,6576000,0.005737,495.603,482.0315,0.020507,0.119418,-0.100638,59.25419,4.086624,4.290987
DIA,2026-05-22,506.12,5172200,0.005983,496.2985,482.21917,0.02826,0.120223,-0.100638,70.06788,4.482011,4.329192
DIA,2026-05-26,505.25,3897800,-0.001719,496.9695,482.479,0.027286,0.120499,-0.100638,65.86629,4.671309,4.397616
DIA,2026-05-27,506.88,4247800,0.003226,497.7425,482.774,0.03146,0.120374,-0.100638,61.42402,4.896414,4.497375
DIA,2026-05-28,507.04999,3709600,0.000335,498.6615,483.13283,0.037612,0.117493,-0.100638,67.79553,5.030539,4.604008
DIA,2026-05-29,510.78,5346700,0.007356,499.368,483.51683,0.028451,0.106668,-0.100638,71.04281,5.375845,4.758375
DIA,2026-06-01,511.44,4424800,0.001292,500.189,484.0435,0.03317,0.105216,-0.100638,70.77417,5.63777,4.934254
DIA,2026-06-02,514.04999,5078000,0.005103,501.4135,484.6905,0.050024,0.094456,-0.100638,72.24669,5.986939,5.144791
DIA,2026-06-03,508.26001,4098000,-0.011263,502.1785,485.19683,0.031037,0.104563,-0.100638,63.44296,5.730398,5.261913
DIA,2026-06-04,516.70001,6390700,0.016606,503.061,485.84683,0.035367,0.111264,-0.100638,67.23021,6.137377,5.437005
DIA,2026-06-05,509.70001,6605900,-0.013548,503.7505,486.42833,0.027807,0.120802,-0.100638,65.01785,5.827889,5.515182
IWM,2022-03-29,211.71001,29550600,0.026771,201.9835,203.911,0.061256,0.276544,-0.060403,65.26851,1.750587,0.568538
IWM,2022-03-30,207.46001,26251500,-0.020075,202.1445,203.61333,0.015766,0.276871,-0.077874,59.12392,1.808347,0.8165
IWM,2022-03-31,205.27,26771600,-0.010556,202.317,203.28483,0.017094,0.276117,-0.077874,60.59029,1.658291,0.984858
IWM,2022-04-01,207.57001,25948500,0.011205,202.7625,203.12167,0.044851,0.271053,-0.077874,69.24869,1.705305,1.128947
IWM,2022-04-04,207.91,20333900,0.001638,203.472,202.9435,0.07325,0.25139,-0.077874,66.90827,1.749827,1.253123
IWM,2022-04-05,202.99001,26509800,-0.023664,203.882,202.7255,0.042097,0.269236,-0.077874,51.51603,1.37229,1.276957
IWM,2022-04-06,200.11,34903900,-0.014188,203.8735,202.472,-0.000849,0.256718,-0.080419,42.71987,0.831116,1.187788
IWM,2022-04-07,199.46001,29291200,-0.003248,203.8505,202.1695,-0.002301,0.256911,-0.080419,38.1054,0.345796,1.01939
IWM,2022-04-08,197.87,25249600,-0.007972,203.9075,201.8675,0.005795,0.251843,-0.080419,38.38601,-0.165219,0.782468
IWM,2022-04-11,196.53999,33702300,-0.006722,204.099,201.57633,0.019874,0.241274,-0.082917,32.79976,-0.669801,0.492014
IWM,2022-04-12,197.16,33699800,0.003155,204.168,201.2905,0.007049,0.235035,-0.082917,38.33106,-1.008037,0.192004
IWM,2022-04-13,200.91,22303600,0.01902,204.1165,201.17517,-0.005101,0.216695,-0.082917,41.96809,-0.962403,-0.038877
IWM,2022-04-14,198.96001,27107000,-0.009706,203.809,201.08367,-0.029984,0.210707,-0.082917,38.93699,-1.071238,-0.24535
IWM,2022-04-18,197.62,22246400,-0.006735,203.3265,201.0315,-0.046558,0.206572,-0.082917,37.2584,-1.251195,-0.446519
IWM,2022-04-19,201.56,22786700,0.019937,203.1325,201.10767,-0.018886,0.219356,-0.082917,34.16537,-1.063627,-0.56994
IWM,2022-04-20,202.33,20516200,0.00382,202.874,201.121,-0.024916,0.216355,-0.082917,41.02205,-0.843125,-0.624577
IWM,2022-04-21,197.8,31547700,-0.022389,202.569,201.10367,-0.029917,0.222018,-0.082917,37.91654,-1.022127,-0.704087
IWM,2022-04-22,192.67999,35686900,-0.025885,201.911,201.04883,-0.063933,0.234114,-0.089887,27.92767,-1.559156,-0.875101
IWM,2022-04-25,193.85001,35556500,0.006072,201.2975,201.08767,-0.059528,0.23592,-0.089887,29.6586,-1.868802,-1.073841
IWM,2022-04-26,187.74001,40513600,-0.031519,200.375,200.9625,-0.089481,0.256241,-0.113221,28.67137,-2.577514,-1.374576
IWM,2022-04-27,186.96001,37808000,-0.004155,199.1375,200.7245,-0.116905,0.228066,-0.116905,30.46067,-3.165621,-1.732785
IWM,2022-04-28,190.45,37405200,0.018667,198.287,200.50933,-0.081992,0.237829,-0.116905,37.65416,-3.311909,-2.04861
IWM,2022-04-29,184.95,41193400,-0.028879,197.271,200.23617,-0.098992,0.252786,-0.126399,34.00992,-3.827526,-2.404393
IWM,2022-05-02,186.89,38002100,0.010489,196.237,200.05883,-0.099629,0.252187,-0.126399,38.2346,-4.033123,-2.730139
IWM,2022-05-03,188.49001,30246300,0.008561,195.266,199.894,-0.093406,0.255816,-0.126399,39.67612,-4.020606,-2.988232
IWM,2022-05-04,193.52,38834700,0.026686,194.7925,199.79667,-0.046653,0.268599,-0.126399,41.4606,-3.563727,-3.103331
IWM,2022-05-05,185.67,41468700,-0.040564,194.0705,199.51183,-0.07216,0.298771,-0.126399,36.48567,-3.791372,-3.240939
IWM,2022-05-06,182.58,45457900,-0.016642,193.2265,199.11133,-0.084629,0.302343,-0.137594,35.23175,-4.173016,-3.427355
IWM,2022-05-09,174.89999,53682200,-0.042064,192.078,198.63567,-0.116086,0.330806,-0.17387,25.61289,-5.037119,-3.749308
IWM,2022-05-10,174.95,53650800,0.000286,190.9985,198.19517,-0.10985,0.331521,-0.17387,24.61996,-5.65273,-4.129992
IWM,2022-05-11,170.60001,64377800,-0.024864,189.6705,197.69383,-0.134713,0.336596,-0.194181,24.7024,-6.417637,-4.587521
IWM,2022-05-12,172.60001,52967400,0.011723,188.255,197.13617,-0.140909,0.33005,-0.194181,30.17379,-6.784242,-5.026865
IWM,2022-05-13,178.07001,36517000,0.031692,187.2105,196.6625,-0.104996,0.357698,-0.194181,35.63888,-6.557803,-5.333053
IWM,2022-05-16,177.22,28225500,-0.004773,186.1905,196.26283,-0.103228,0.357661,-0.194181,39.41224,-6.373466,-5.541135
IWM,2022-05-17,182.64,31833700,0.030583,185.2445,195.98233,-0.093868,0.369385,-0.194181,46.02356,-5.724047,-5.577718
IWM,2022-05-18,176.24001,36093800,-0.035042,183.94,195.642,-0.128948,0.38306,-0.194181,37.58519,-5.660552,-5.594285
IWM,2022-05-19,176.53,33627700,0.001645,182.8765,195.36783,-0.107533,0.379404,-0.194181,41.90696,-5.523164,-5.58006
IWM,2022-05-20,176.08,42243700,-0.002549,182.0465,195.00183,-0.086153,0.371656,-0.194181,39.30339,-5.388479,-5.541744
IWM,2022-05-23,178.21001,24644100,0.012097,181.2645,194.597,-0.080681,0.374476,-0.194181,39.93341,-5.051635,-5.443722
IWM,2022-05-24,175.57001,26861800,-0.014814,180.656,194.1345,-0.064824,0.362661,-0.194181,31.55948,-4.940755,-5.343129
IWM,2022-05-25,178.73,27950100,0.017998,180.2445,193.7885,-0.04402,0.370249,-0.194181,42.11004,-4.5455,-5.183603
